ORB_detection_left_height,ORB_kalman_left_height,ORB_detection_right_height,ORB_kalman_right_height,ORB_detection_top_width,ORB_kalman_top_width,ORB_detection_bottom_width,ORB_kalman_bottom_width,ORB_detection_angle,ORB_kalman_angle,ORB_detection_center_x,ORB_kalman_center_x,ORB_detection_center_y,ORB_kalman_center_y,SIFT_detection_left_height,SIFT_kalman_left_height,SIFT_detection_right_height,SIFT_kalman_right_height,SIFT_detection_top_width,SIFT_kalman_top_width,SIFT_detection_bottom_width,SIFT_kalman_bottom_width,SIFT_detection_angle,SIFT_kalman_angle,SIFT_detection_center_x,SIFT_kalman_center_x,SIFT_detection_center_y,SIFT_kalman_center_y,SURF_detection_left_height,SURF_kalman_left_height,SURF_detection_right_height,SURF_kalman_right_height,SURF_detection_top_width,SURF_kalman_top_width,SURF_detection_bottom_width,SURF_kalman_bottom_width,SURF_detection_angle,SURF_kalman_angle,SURF_detection_center_x,SURF_kalman_center_x,SURF_detection_center_y,SURF_kalman_center_y
14.8995,7.2406,1.7654,9.5262,2.3161,6.8491,94.8975,113.7786,69.345,64.7034,1.3322,0.5466,50.0444,50.6386,54.6607,8.5199,54.6645,8.516,54.8347,5.8263,54.6547,6.0063,0.7548,1.0622,315.19,1.8034,241.085,0.4047,5.8498,0.0487,8.0673,0.7129,3.7062,0.7893,9.7417,1.9834,6.0134,7.9555,4.578,3.7961,3.2577,1.2095
8.3942,7.4069,28.5835,7.7598,15.6556,7.9522,7.3286,7.5839,11.2067,2.2641,3.4707,1.4102,0.6403,0.3877,5.8185,9.2174,6.8731,9.0479,1.4773,6.672,0.1214,5.4089,7.0988,1.2408,0.483,1.8356,0.527,0.0591,60.7796,0.2829,60.77,0.2733,61.3129,0.8836,60.2332,1.9634,1.1986,9.0581,363.14,4.4229,286.475,0.0888
1.5694,7.6848,1.647,7.7624,5.5787,7.7641,6.2869,8.4724,1.4679,0.642,2.5525,0.9604,0.5,0.0441,6.8891,6.0099,2.1105,5.827,2.0571,5.7963,2.13,5.956,1.9992,1.1101,1.2378,0.7323,0.323,0.206,8.2874,2.0164,19.0068,2.736,2.7312,2.5878,5.6428,2.5691,11.7228,11.0996,5.7966,2.9605,2.6924,0.6221
10.4442,6.5016,30.2957,6.1335,0.1871,6.9312,21.1235,6.5808,13.1541,1.2319,4.8113,1.8977,0.6825,0.7093,53.0348,4.7308,54.1148,3.6508,53.9403,3.3093,53.9447,3.3049,1.3384,0.123,315.8625,1.1238,238.295,0.3891,63.1117,2.2639,62.874,2.5016,63.1015,2.8916,63.3719,2.6212,2.5324,12.5627,372.905,3.6276,291.5475,2.4499
7.7982,4.7839,8.3548,6.2234,1.8648,5.1339,9.3156,5.1141,1.4828,0.7865,1.5107,1.8455,0.045,0.2406,53.4815,3.0435,53.56,2.965,52.9836,3.5076,54.0947,2.3966,0.752,0.4995,315.8225,0.8485,236.6875,0.3952,64.678,1.5694,63.6747,2.5728,64.1426,2.6456,64.4586,2.3295,3.6201,14.1532,377.35,5.064,293.9,3.2009
6.5104,4.0562,0.7306,2.6326,0.1358,2.5951,8.7069,3.6895,5.6423,3.5392,2.1074,2.3864,0.1011,0.6902,2.0467,0.5929,0.6704,0.5977,1.2649,1.397,6.0149,1.037,1.4758,1.6008,0.5234,0.1653,0.5474,0.1355,66.0365,5.6819,65.0714,6.647,64.9744,6.0088,65.5578,5.4254,4.6722,12.1686,382.6275,4.7429,295.4225,1.1113
7.3263,6.7621,2.4706,7.4754,7.9148,5.9445,0.6177,5.5751,3.549,1.06,1.9255,0.8823,0.0882,0.896,5.9743,0.5324,1.4339,0.1724,3.0863,0.6711,2.4433,0.6711,2.1669,0.6658,1.3782,1.6463,0.635,0.1592,67.3966,6.1562,66.5645,6.9882,67.5805,4.9751,66.8887,5.6669,5.2324,13.0034,387.645,5.0544,297.3925,2.8677
1.425,9.3421,17.3117,9.7062,0.8765,6.982,13.9714,7.3345,3.2874,0.3182,1.6537,0.4824,0.2777,0.1024,56.2726,0.3052,56.6303,0.0525,55.54,0.8803,56.2612,0.1591,0.3666,0.2751,316.58,1.8099,233.535,0.9253,68.7332,4.2082,67.6456,5.2958,67.8717,2.9045,67.211,3.5652,5.8582,10.2334,391.97,2.8059,297.71,0.8479
4.0677,7.7899,11.0089,8.5047,0.004,6.3911,10.0695,6.0222,1.1833,0.206,1.8142,0.6104,0.0537,0.547,9.0123,0.2071,1.2936,0.6954,1.8942,0.3934,8.2732,0.1536,5.9609,1.2442,0.7785,1.9266,0.1929,0.3965,67.6935,6.7096,68.2723,6.1309,67.7551,4.1209,68.2091,3.667,5.5443,9.7355,395.5925,1.6645,295.9375,3.0284
5.9085,5.9757,2.6828,5.2567,7.8644,4.394,1.5232,5.1129,2.3089,1.224,1.9441,1.9007,1.0564,1.1779,58.9725,0.152,59.3325,0.2079,59.5011,0.5247,59.5,0.5236,0,0.5648,318.02,1.3169,231.645,0.0598,8.2275,7.0929,3.213,6.8072,9.5161,2.7521,8.7059,2.5319,2.5958,3.9341,5.7039,2.5694,0.0257,1.3087
