P1_time_percent,P1_error_X,P1_error_Y,P1_error_Angle,P2_time_percent,P2_error_X,P2_error_Y,P2_error_Angle,P3_time_percent,P3_error_X,P3_error_Y,P3_error_Angle,P4_time_percent,P4_error_X,P4_error_Y,P4_error_Angle,P5_time_percent,P5_error_X,P5_error_Y,P5_error_Angle,PI1_time_percent,PI1_error_X,PI1_error_Y,PI1_error_Angle,PI2_time_percent,PI2_error_X,PI2_error_Y,PI2_error_Angle,PI3_time_percent,PI3_error_X,PI3_error_Y,PI3_error_Angle,PI4_time_percent,PI4_error_X,PI4_error_Y,PI4_error_Angle,PI5_time_percent,PI5_error_X,PI5_error_Y,PI5_error_Angle,PID1_time_percent,PID1_error_X,PID1_error_Y,PID1_error_Angle,PID2_time_percent,PID2_error_X,PID2_error_Y,PID2_error_Angle,PID3_time_percent,PID3_error_X,PID3_error_Y,PID3_error_Angle,PID4_time_percent,PID4_error_X,PID4_error_Y,PID4_error_Angle,PID5_time_percent,PID5_error_X,PID5_error_Y,PID5_error_Angle
2797133000000,-1.40551757812,-8.17503356934,25.724313736,2800141000000,1.83218383789,0.280548095703,14.8251752853,2788721000000,-9.60263061523,4.34518432617,18.3802623749,2795133000000,-8.24029541016,10.6138000488,11.9692668915,2802277000000,7.8239440918,0.777038574219,24.2919368744,2805825000000,-4.42532348633,0.226943969727,16.1316051483,2824481000000,7.32415771484,3.91993713379,24.7350769043,2789281000000,-4.75332641602,14.6230010986,15.2678203583,2811645000000,5.26434326172,-2.55816650391,24.6325626373,2791069000000,-4.66641235352,5.3611907959,17.9381752014,2809713000000,1.84762573242,-3.63151550293,20.501625061,2801149000000,6.26559448242,-0.900115966797,20.456829071,2811945000000,3.90899658203,1.0897064209,21.1359367371,2808553000000,-24.5284729004,9.49378967285,20.6108455658,2793073000000,-13.2455749512,3.21536254883,22.2717990875
2797133000000,-1.5612487793,-7.90905761719,25.9723625183,2800141000000,1.01184082031,0.163513183594,14.7484025955,2788721000000,-10.378112793,4.03565979004,18.2874965668,2795249000000,-7.55422973633,9.7825012207,13.5228948593,2802365000000,7.99942016602,0.982330322266,24.2456245422,2805829000000,-5.44302368164,0.507766723633,17.4091701508,2824641000000,7.15469360352,4.00112915039,24.7080345154,2789393000000,-5.24722290039,14.5834197998,15.210351944,2811645000000,4.51113891602,-3.09251403809,25.1752071381,2791189000000,-4.64559936523,4.28939819336,19.1041316986,2809821000000,1.24816894531,-4.5481262207,21.4831485748,2801249000000,6.38925170898,-0.785781860352,20.4849758148,2812029000000,3.83435058594,1.17372131348,21.1517829895,2808653000000,-24.8804626465,8.95195007324,20.5132083893,2793073000000,-13.3944702148,3.01985168457,21.8561573029
2797257000000,-1.10409545898,-7.7459564209,25.4520874023,2800253000000,1.07263183594,0.0818939208984,14.7524089813,2788809000000,-10.3732299805,3.61152648926,18.2710571289,2795249000000,-8.07949829102,9.66136169434,14.0754966736,2802449000000,8.17486572266,1.18760681152,24.1993141174,2805985000000,-4.04205322266,0.242004394531,18.5327911377,2824741000000,6.65435791016,3.9892578125,24.7309761047,2789489000000,-5.74114990234,14.5438537598,15.1528835297,2811745000000,4.50140380859,-3.04614257812,25.1875343323,2791281000000,-4.63824462891,3.9280090332,19.2500133514,2809917000000,0.861419677734,-3.958984375,21.2165050507,2801345000000,6.32479858398,-0.660034179688,20.3939552307,2812121000000,3.75970458984,1.25775146484,21.1676273346,2808749000000,-24.6292419434,9.52313232422,20.7801570892,2793177000000,-12.3940124512,3.00019836426,21.392118454
2797337000000,-0.25146484375,-8.26976013184,24.7770805359,2800361000000,1.76596069336,-0.280014038086,14.2075071335,2788889000000,-9.97412109375,3.63357543945,17.9245510101,2795381000000,-8.50891113281,9.23443603516,14.03794384,2802533000000,8.44534301758,2.04164123535,27.3518047333,2806141000000,-3.74533081055,0.03173828125,18.6524047852,2824741000000,6.01571655273,3.97453308105,23.9033470154,2789581000000,-5.59219360352,13.0639801025,16.0363922119,2811837000000,4.46667480469,-4.88407897949,26.1082000732,2791417000000,-4.63092041016,3.56661987305,19.3958930969,2810033000000,1.59927368164,-4.04591369629,21.4999904633,2801441000000,6.43212890625,-0.544708251953,20.4156799316,2812205000000,3.8561706543,0.760940551758,21.3572425842,2808861000000,-24.929473877,9.0768737793,20.7021083832,2793277000000,-12.2373962402,2.28109741211,21.5054798126
2797337000000,-0.576721191406,-8.20962524414,25.7603111267,2800469000000,2.42904663086,0.503555297852,11.4709291458,2788889000000,-9.52825927734,4.38670349121,17.8629760742,2795509000000,-8.93835449219,8.80749511719,14.0003900528,2802533000000,7.78204345703,2.37644958496,26.5657272339,2806237000000,-3.80191040039,-0.131958007812,19.0311050415,2824825000000,5.77905273438,4.03999328613,23.8352279663,2789681000000,-6.46817016602,11.6187133789,16.271736145,2811937000000,4.34872436523,-3.28005981445,26.1821899414,2791517000000,-4.62356567383,3.20523071289,19.5417728424,2810133000000,1.94467163086,-2.8076171875,21.6496906281,2801541000000,5.61636352539,0.121688842773,20.3195228577,2812321000000,3.7951965332,0.798568725586,21.3813076019,2808945000000,-22.2551269531,7.18299865723,20.2638931274,2793397000000,-12.1654968262,1.83293151855,21.1430969238
2797433000000,-0.0144348144531,-8.42065429688,25.7464752197,2800469000000,2.51733398438,-0.0709228515625,10.2694759369,2788977000000,-9.4616394043,3.26335144043,17.7937927246,2795629000000,-6.3483581543,10.4921264648,14.0563898087,2802625000000,7.89279174805,2.6402130127,26.6368713379,2806341000000,-2.72528076172,-0.422943115234,18.0303096771,2824921000000,5.54235839844,4.10545349121,23.7671089172,2789781000000,-6.94934082031,11.3610839844,16.2743873596,2812045000000,4.3274230957,-3.24476623535,26.2452850342,2791629000000,-4.61624145508,2.84384155273,19.6876544952,2810237000000,1.23919677734,-2.11500549316,21.2655105591,2801641000000,5.64443969727,0.284332275391,20.3349132538,2812413000000,2.71319580078,1.27040100098,20.877161026,2809061000000,-22.3005065918,6.6127166748,20.1666698456,2793533000000,-12.0195007324,1.3197479248,21.1733531952
2797605000000,0.5478515625,-8.63168334961,25.7326393127,2800469000000,2.00350952148,0.0854797363281,10.5483007431,2789077000000,-9.62268066406,2.69305419922,17.5909004211,2795733000000,-7.51416015625,7.29644775391,14.2188177109,2802729000000,8.00354003906,2.90399169922,26.7080154419,2806421000000,-2.57229614258,-1.23426818848,17.7732944489,2825009000000,5.0182800293,4.3897857666,24.4189529419,2789873000000,-7.43048095703,11.1034545898,16.2770404816,2812137000000,4.30612182617,-3.20947265625,26.308380127,2791737000000,-4.60888671875,2.48245239258,19.8335342407,2810341000000,1.36288452148,-2.6893157959,20.2598266602,2801745000000,4.65899658203,0.366439819336,19.7524662018,2812513000000,2.56616210938,1.34463500977,20.8762626648,2809137000000,-22.3458557129,6.04243469238,20.0694484711,2793637000000,-10.5672607422,-0.21955871582,20.7085456848
2797709000000,1.11010742188,-8.84271240234,25.7188034058,2800569000000,2.02236938477,-0.197525024414,11.3011064529,2789161000000,-9.40798950195,2.4146270752,18.1609287262,2795861000000,-8.05587768555,5.37252807617,14.6944789886,2802825000000,4.2453918457,4.03144836426,26.8681983948,2806501000000,-2.64520263672,-1.4630279541,17.6519851685,2825009000000,4.43829345703,4.51885986328,22.7523651123,2789977000000,-7.45977783203,8.89344787598,16.1653823853,2812237000000,4.28482055664,-3.17419433594,26.3714752197,2791849000000,-3.07278442383,2.41938781738,16.9653072357,2810441000000,1.34411621094,-2.60369873047,20.2922458649,2801841000000,4.2204284668,0.266479492188,19.3842487335,2812613000000,3.81503295898,1.80557250977,20.4541625977,2809261000000,-23.2633666992,3.45655822754,19.8169345856,2793725000000,-10.307434082,-0.822158813477,20.7121582031
2797825000000,2.91317749023,-8.56973266602,24.8305244446,2800669000000,1.67639160156,-0.326583862305,11.2847900391,2789261000000,-8.04727172852,1.3270111084,18.0208244324,2795977000000,-8.34411621094,4.73948669434,14.6992321014,2802917000000,4.0348815918,4.36692810059,26.9438552856,2806657000000,-3.18728637695,-1.31211853027,17.6422271729,2825113000000,4.14996337891,4.60646057129,22.6357307434,2790073000000,-7.90344238281,8.47383117676,16.1623535156,2812333000000,3.65432739258,-2.28855895996,24.3805179596,2791849000000,-2.44360351562,3.17781066895,16.1917304993,2810541000000,1.25186157227,-3.33700561523,19.35912323,2801937000000,4.1282043457,0.399688720703,19.3490257263,2812721000000,3.78762817383,1.9129486084,20.4332065582,2809341000000,-23.3400268555,4.4822845459,20.773765564,2793821000000,-9.61639404297,-2.19882202148,20.8801441193
2797925000000,3.57461547852,-8.74206542969,24.7688694,2800761000000,1.2190246582,-0.869827270508,11.9364643097,2789433000000,-7.23867797852,1.11688232422,17.4856128693,2796069000000,-7.4826965332,6.37062072754,15.0982227325,2803145000000,5.37042236328,3.33464050293,26.0423851013,2806741000000,-2.9762878418,-1.53852844238,17.6826972961,2825209000000,3.86163330078,4.69407653809,22.5190944672,2790169000000,-6.57739257812,9.78952026367,16.6709041595,2812433000000,3.58441162109,-2.1854095459,24.3338432312,2791937000000,-2.30206298828,2.91648864746,15.606508255,2810633000000,1.22668457031,-3.32264709473,19.3375511169,2802033000000,5.10101318359,0.00173950195312,18.712638855,2812821000000,3.88122558594,0.702941894531,20.3160800934,2809341000000,-23.9764709473,4.77581787109,20.9549198151,2793925000000,-9.03698730469,-2.6344909668,20.8794403076
