P1_time_percent,P1_pos_Z,P1_vel_X,P1_vel_Y,P1_yaw_rate,P2_time_percent,P2_pos_Z,P2_vel_X,P2_vel_Y,P2_yaw_rate,P3_time_percent,P3_pos_Z,P3_vel_X,P3_vel_Y,P3_yaw_rate,P4_time_percent,P4_pos_Z,P4_vel_X,P4_vel_Y,P4_yaw_rate,P5_time_percent,P5_pos_Z,P5_vel_X,P5_vel_Y,P5_yaw_rate,PI1_time_percent,PI1_pos_Z,PI1_vel_X,PI1_vel_Y,PI1_yaw_rate,PI2_time_percent,PI2_pos_Z,PI2_vel_X,PI2_vel_Y,PI2_yaw_rate,PI3_time_percent,PI3_pos_Z,PI3_vel_X,PI3_vel_Y,PI3_yaw_rate,PI4_time_percent,PI4_pos_Z,PI4_vel_X,PI4_vel_Y,PI4_yaw_rate,PI5_time_percent,PI5_pos_Z,PI5_vel_X,PI5_vel_Y,PI5_yaw_rate,PID1_time_percent,PID1_pos_Z,PID1_vel_X,PID1_vel_Y,PID1_yaw_rate,PID2_time_percent,PID2_pos_Z,PID2_vel_X,PID2_vel_Y,PID2_yaw_rate,PID3_time_percent,PID3_pos_Z,PID3_vel_X,PID3_vel_Y,PID3_yaw_rate,PID4_time_percent,PID4_pos_Z,PID4_vel_X,PID4_vel_Y,PID4_yaw_rate,PID5_time_percent,PID5_pos_Z,PID5_vel_X,PID5_vel_Y,PID5_yaw_rate
2842653000000,3.30349826813,0.340865765832,0.175222311468,0.175222311468,2794645000000,3.53909683228,0.274754149246,0.179818401564,0.0826061815023,2883409000000,3.36334252357,0.279951896815,0.225793473351,0.096759930253,2805193000000,3.48896718025,0.282243043706,0.148811098277,0.10007032007,2790313000000,3.45626449585,0.278730264761,0.173511762627,0.0744955390692,2863813000000,3.34566855431,0.373409567221,0.212663858222,0.0842131748796,2798185000000,3.35995030403,0.349466328542,0.260139217401,0.0879408344626,2792745000000,3.39054274559,0.440097617074,0.308256245417,0.0838978365064,2796977000000,3.53964400291,0.315291670658,0.258466629921,0.0835331007838,2786645000000,3.4027402401,0.388627455852,0.226014908399,0.0842068120837,2792405000000,3.45077204704,0.435201204258,0.296799491805,0.0798102468252,2804317000000,3.51917481422,0.427463475465,0.255044654055,0.0566602349281,2847189000000,3.33789300919,0.410252692629,0.409770577454,0.0834116190672,2785737000000,3.40348577499,0.468113608292,0.226570945569,0.061544790864,2849489000000,3.44320678711,0.440667511079,0.357497835183,0.0721935033798
2842701000000,3.30246043205,0.339386493632,0.171034208791,0.171034208791,2794693000000,3.53816795349,0.272870652747,0.178414715628,0.0788556337357,2883425000000,3.36198878288,0.281590965763,0.224814880047,0.105425588787,2805213000000,3.48926258087,0.282233188331,0.146772393394,0.0897393226624,2790353000000,3.45449829102,0.27891085293,0.171990785092,0.0803288817406,2863813000000,3.34591698647,0.369828779672,0.208119752486,0.0866098180413,2798201000000,3.35916638374,0.348952580593,0.257983562897,0.0840678960085,2792765000000,3.38741445541,0.435465315213,0.30366571446,0.0774920508265,2796977000000,3.54032850266,0.312610879458,0.255654804634,0.0865321010351,2786689000000,3.40279483795,0.385537742515,0.224635356678,0.0762292444706,2792441000000,3.45036077499,0.431737961202,0.293236303184,0.0790252238512,2804333000000,3.51811766624,0.425255910157,0.251746379747,0.0589970350266,2847209000000,3.33617067337,0.407263994039,0.405487625436,0.0880230218172,2785781000000,3.40329241753,0.459898307951,0.222217296209,0.0567513033748,2849509000000,3.44245767593,0.437927517945,0.353809642076,0.0742399096489
2842745000000,3.30158209801,0.338767403452,0.167475922371,0.167475922371,2794693000000,3.53748655319,0.271947892353,0.175154320169,0.0826228782535,2883465000000,3.36092710495,0.281709050467,0.22317133183,0.101514995098,2805253000000,3.48911333084,0.281935123547,0.145313994171,0.0927179828286,2790369000000,3.45224881172,0.27791373546,0.171861900425,0.0798429101706,2863865000000,3.34619879723,0.365375619476,0.205660107982,0.0885377675295,2798245000000,3.35884857178,0.348735471055,0.257506230265,0.0805991068482,2792805000000,3.38489341736,0.432595057568,0.303860812733,0.0806154832244,2797021000000,3.54203534126,0.312265306414,0.253797184167,0.0879050642252,2786733000000,3.40338540077,0.3822834625,0.223119351596,0.0784671157598,2792489000000,3.44980955124,0.429675207816,0.290190408381,0.0764175578952,2804377000000,3.51770949364,0.420741782622,0.248908091742,0.0606638938189,2847253000000,3.33438777924,0.405857696084,0.402262367681,0.0875192284584,2785801000000,3.40316867828,0.451397335532,0.218015115002,0.07054258883,2849553000000,3.44205117226,0.433527449459,0.348676517412,0.0728862211108
2842745000000,3.30096888542,0.337508017495,0.165950005773,0.165950005773,2794733000000,3.53692245483,0.270791783511,0.173658522823,0.0797374099493,2883509000000,3.35843801498,0.281498063174,0.220564448271,0.105143398046,2805297000000,3.48852324486,0.282214400308,0.142735266982,0.0929411947727,2790413000000,3.45023488998,0.277427106545,0.171898377798,0.0832814574242,2863873000000,3.34634709358,0.362244763021,0.202316608553,0.0899365022779,2798289000000,3.35830593109,0.350321258654,0.257078806017,0.0888966098428,2792849000000,3.38286423683,0.429147727311,0.302545004786,0.0832602083683,2797037000000,3.54338359833,0.312167878885,0.252590289171,0.0877562314272,2786733000000,3.40376472473,0.379311643766,0.220776169345,0.0780553370714,2792529000000,3.44743680954,0.423952705681,0.28755297474,0.07751737535,2804421000000,3.51792168617,0.418995653963,0.246286738655,0.0613665692508,2847297000000,3.33251619339,0.403615925518,0.399239398674,0.0853871256113,2785845000000,3.40290546417,0.441705694622,0.216426636965,0.0609350763261,2849597000000,3.44170260429,0.430692812171,0.346541001215,0.0819239467382
2842789000000,3.30114936829,0.33651174217,0.163161261623,0.163161261623,2794757000000,3.53663682938,0.2688352825,0.171467137484,0.080176346004,2883553000000,3.35521459579,0.281289022316,0.217443332726,0.0987793803215,2805341000000,3.48788928986,0.282457985346,0.140699721601,0.0926323756576,2790453000000,3.44997024536,0.27736654057,0.170673068458,0.081422612071,2863913000000,3.34644603729,0.361195703806,0.197771064718,0.0861108899117,2798337000000,3.35748362541,0.34985980061,0.255011461307,0.0823096930981,2792897000000,3.38032197952,0.425396614095,0.29814910007,0.0815333127975,2797081000000,3.54437947273,0.311189971743,0.251011860347,0.0869996547699,2786777000000,3.40391635895,0.376345701299,0.218368125203,0.074183024466,2792577000000,3.44560027122,0.420070783593,0.28251593001,0.078259408474,2804465000000,3.517796278,0.415531463669,0.24222051406,0.0637526065111,2847337000000,3.33205628395,0.40036201487,0.393506486871,0.0808271169662,2785889000000,3.40277814865,0.433360743065,0.212301344558,0.0610596090555,2849645000000,3.44134449959,0.426682206255,0.342648592654,0.076937533915
2842813000000,3.30121803284,0.335623373366,0.161520261754,0.161520261754,2794801000000,3.53621006012,0.267750753053,0.168868580417,0.0791691765189,2883597000000,3.35317921638,0.281354251696,0.216923379919,0.103304482996,2805385000000,3.48725128174,0.283142654145,0.139350732959,0.0940296947956,2790501000000,3.44977712631,0.276553953228,0.170460187482,0.0782361403108,2863953000000,3.34659099579,0.359057993031,0.1961152253,0.0897504910827,2798337000000,3.35684251785,0.348994456334,0.254109992533,0.0850875079632,2792897000000,3.37881159782,0.423477718105,0.297228370161,0.0801518261433,2797125000000,3.54514169693,0.309343561083,0.249031229228,0.0848156362772,2786793000000,3.40464234352,0.374281921218,0.217886908414,0.0717379897833,2792577000000,3.44383072853,0.416624781721,0.280782056151,0.0752938985825,2804509000000,3.51751756668,0.411668804395,0.239970784943,0.0602944679558,2847389000000,3.33127760887,0.397014119472,0.388334675215,0.0824843645096,2785933000000,3.40241742134,0.424207473509,0.206206702602,0.0687532573938,2849689000000,3.44105434418,0.422699932485,0.338528811221,0.0724184289575
2842857000000,3.30133008957,0.335605756891,0.161416358332,0.161416358332,2794845000000,3.53566598892,0.267342188983,0.166592457538,0.0803042575717,2883597000000,3.35154533386,0.281405196032,0.213824955622,0.111844018102,2805385000000,3.48667645454,0.281910336911,0.138338016352,0.0950069949031,2790501000000,3.44953846931,0.275701168286,0.16911999458,0.0863305777311,2864001000000,3.34657788277,0.356646559726,0.193385889015,0.0885837748647,2798381000000,3.35620641708,0.347958042843,0.253169549022,0.082340374589,2792945000000,3.3774805069,0.421274237895,0.295810961653,0.0856772810221,2797169000000,3.54558587074,0.307216408198,0.248039633995,0.0817641764879,2786833000000,3.40513110161,0.372854656836,0.215708111667,0.0732460767031,2792621000000,3.44222974777,0.413064046683,0.276106002917,0.0848214030266,2804509000000,3.51706504822,0.4075006268,0.236187181423,0.0623230412602,2847389000000,3.33059668541,0.394188597537,0.382711743136,0.0776127502322,2785933000000,3.40201449394,0.417586028971,0.203244620438,0.0628988221288,2849689000000,3.44079494476,0.418478637127,0.334968738215,0.0708412900567
2842897000000,3.30144691467,0.334653551254,0.157373857947,0.157373857947,2794889000000,3.53498339653,0.26845875824,0.165258043353,0.0813477486372,2883641000000,3.35021471977,0.281159415299,0.209970715351,0.104759663343,2805433000000,3.4866271019,0.28067995429,0.13817978243,0.0912335813046,2790545000000,3.44936299324,0.274841672071,0.166814430972,0.0785581916571,2864041000000,3.34672951698,0.353761923495,0.189690229079,0.090959072113,2798401000000,3.35559368134,0.347164734301,0.253092098132,0.0799551680684,2792961000000,3.37573051453,0.41933667496,0.294494418686,0.0833077356219,2797213000000,3.54588198662,0.305771711246,0.244847579032,0.0939328595996,2786873000000,3.40543794632,0.371333529898,0.214483504715,0.0764430612326,2792641000000,3.44070410728,0.410259806268,0.271225487893,0.0783650800586,2804553000000,3.51648545265,0.404131810723,0.232900817113,0.0612366572022,2847433000000,3.33027863503,0.388404820384,0.378118089323,0.081662453711,2785977000000,3.40246748924,0.410958560498,0.198151464664,0.0712788179517,2849733000000,3.44049263,0.417961157723,0.332122013053,0.0752775520086
2842945000000,3.3016974926,0.334210975172,0.154689053566,0.154689053566,2794889000000,3.53447914124,0.268812789561,0.163284270096,0.0811014920473,2883657000000,3.3492474556,0.280783440666,0.207400485976,0.10511469841,2805445000000,3.48644161224,0.280998972697,0.135718050653,0.0909120962024,2790569000000,3.44905734062,0.273498558323,0.165671971969,0.0820119455457,2864041000000,3.34701061249,0.350519300372,0.187267002066,0.0895409956574,2798441000000,3.35585832596,0.347332044006,0.252580046986,0.0823166072369,2793005000000,3.37424635887,0.418150950316,0.292117097805,0.0788516849279,2797213000000,3.5467441082,0.305127853841,0.243387827556,0.0925954580307,2786917000000,3.40600395203,0.369399150583,0.212277173995,0.0671741589904,2792681000000,3.43928408623,0.406587046846,0.267763935267,0.0771621391177,2804569000000,3.51619505882,0.398816359868,0.229685300991,0.0591129399836,2847449000000,3.32992696762,0.385529620909,0.373978270136,0.0830110609531,2786001000000,3.40293359756,0.404229431653,0.195434644509,0.0594574399292,2849745000000,3.44005990028,0.414121960732,0.326813733036,0.0782137215137
2842945000000,3.30215239525,0.333842783962,0.152321237381,0.152321237381,2794933000000,3.53390812874,0.270414663096,0.16227786785,0.0768500566483,2883697000000,3.34755396843,0.28167998546,0.207180515683,0.099958345294,2805489000000,3.48582410812,0.279860322763,0.134726055608,0.091387540102,2790613000000,3.44830393791,0.272856264693,0.165110868051,0.0809074565768,2864089000000,3.34761118889,0.34968869574,0.184192671225,0.0856865942478,2798485000000,3.35642027855,0.3465940513,0.251065828588,0.0846239924431,2793049000000,3.37320327759,0.415207873729,0.290985163229,0.0815907865763,2797257000000,3.54749751091,0.304154563968,0.241659739332,0.0865180194378,2786961000000,3.40647101402,0.367986438658,0.208121773321,0.076369792223,2792725000000,3.43807172775,0.402488460837,0.264001794327,0.0766139402986,2804609000000,3.51593375206,0.395999425992,0.228527792735,0.0634744688869,2847493000000,3.32935881615,0.380765161071,0.369149271734,0.0863066837192,2786041000000,3.40325498581,0.39970173812,0.191948692686,0.0609243288636,2849785000000,3.43982481956,0.412162175745,0.323160668945,0.0720471665263
2842993000000,3.302744627,0.331853564529,0.149587944594,0.149587944594,2794957000000,3.53357481956,0.271194145195,0.160489899162,0.0797976925969,2883741000000,3.34618020058,0.282231892798,0.206405555904,0.100337207317,2805525000000,3.4851577282,0.279398503995,0.133235643707,0.0909431278706,2790657000000,3.4472413063,0.272877688896,0.163059280411,0.0799260735512,2864109000000,3.34813261032,0.347126346307,0.182371984098,0.0907397642732,2798529000000,3.35661673546,0.346302054955,0.249831397041,0.0795780196786,2793093000000,3.37166905403,0.413532482591,0.289081935111,0.0783891677856,2797273000000,3.5480029583,0.303321184013,0.23902384737,0.0878916531801,2786961000000,3.40673112869,0.364791521032,0.205446020615,0.0700469315052,2792769000000,3.43664264679,0.39781591423,0.259206618333,0.0765094533563,2804653000000,3.51535010338,0.391997162171,0.223752604026,0.0629741102457,2847537000000,3.32885694504,0.376440919301,0.3630394593,0.085396528244,2786081000000,3.40382814407,0.393538767702,0.188513296564,0.0597025975585,2849829000000,3.43927502632,0.408849352278,0.3199423342,0.0715380162001
2843013000000,3.30314683914,0.330979016477,0.148467693561,0.148467693561,2795005000000,3.53362011909,0.272065413149,0.158691086446,0.0817144662142,2883785000000,3.34509992599,0.28272077369,0.205337856247,0.104108043015,2805561000000,3.4841697216,0.280389584425,0.130273010744,0.0951711535454,2790701000000,3.44640755653,0.272622998451,0.162052004731,0.0808656960726,2864153000000,3.34856510162,0.345293438623,0.181350217186,0.0852409824729,2798577000000,3.35640573502,0.344346482588,0.24725537888,0.0760540962219,2793141000000,3.37068533897,0.414328062097,0.288790107624,0.0828179419041,2797313000000,3.54934000969,0.303706873502,0.237702783236,0.0803383737803,2787005000000,3.40702366829,0.363392170536,0.203798226423,0.0759045034647,2792813000000,3.43552994728,0.394582886878,0.258543952145,0.0751007348299,2804697000000,3.51472592354,0.388549846694,0.219919845111,0.0578622296453,2847581000000,3.32820296288,0.371880063613,0.357693776807,0.0833330452442,2786125000000,3.40430736542,0.388258147746,0.183855606502,0.0645130872726,2849873000000,3.4380209446,0.404734640095,0.314986743599,0.0745274722576
2843049000000,3.30360388756,0.330326258303,0.147395233425,0.147395233425,2795049000000,3.53367257118,0.271021650063,0.157512139441,0.0758655816317,2883833000000,3.34426379204,0.28331673737,0.205169852208,0.106198295951,2805609000000,3.48357319832,0.279381060344,0.129903286599,0.0916453078389,2790701000000,3.44546103477,0.274303410383,0.159796941973,0.0807237029076,2864193000000,3.34851312637,0.343205796076,0.180121869986,0.0887885391712,2798577000000,3.35558199883,0.342941475364,0.241849540883,0.0820628255606,2793141000000,3.36933612823,0.412549068869,0.286564604674,0.0835296809673,2797357000000,3.55030274391,0.302821810789,0.235924400625,0.0849942713976,2787025000000,3.4072265625,0.361555225981,0.200866620384,0.0709159225225,2792817000000,3.43471670151,0.390201919614,0.255622533943,0.0768759101629,2804737000000,3.51449131966,0.38553931941,0.215488251494,0.0647729486227,2847581000000,3.3273704052,0.368053114973,0.352708487508,0.0839194655418,2786173000000,3.40453648567,0.38040058432,0.180472033528,0.0597653500736,2849917000000,3.43692445755,0.399972064879,0.310794461368,0.0696006640792
2843093000000,3.30443763733,0.328938355306,0.145090750155,0.145090750155,2795093000000,3.53354334831,0.271815644428,0.155439558319,0.0774979740381,2883833000000,3.34406971931,0.284519760886,0.20429222004,0.102555416524,2805649000000,3.48303556442,0.279242843046,0.128398913689,0.0900080800056,2790737000000,3.44446778297,0.274863252682,0.158410502528,0.0806721299887,2864241000000,3.34841775894,0.340514600575,0.176143565432,0.0863766521215,2798621000000,3.35460519791,0.341071802217,0.2391749557,0.0766451954842,2793181000000,3.36745667458,0.409181616027,0.283544536344,0.0802333876491,2797401000000,3.55104804039,0.300804455704,0.232383446174,0.0829539597034,2787065000000,3.40722680092,0.359943046478,0.198891379728,0.0720761269331,2792857000000,3.43401384354,0.386248709931,0.25115838792,0.0741081908345,2804737000000,3.51384615898,0.381446702076,0.209078907584,0.059139572084,2847625000000,3.32657170296,0.365102676068,0.348906949835,0.0816030576825,2786173000000,3.4045522213,0.374314221777,0.176887449972,0.0642086714506,2849917000000,3.436003685,0.398493076558,0.308188104785,0.0771075636148
2843141000000,3.30511260033,0.327985371578,0.145795188747,0.145795188747,2795093000000,3.53324246407,0.271416758298,0.154658370237,0.0766284614801,2883877000000,3.34412264824,0.285414565254,0.202563852502,0.104462705553,2805649000000,3.48329234123,0.279719582674,0.12560897772,0.0847348943353,2790769000000,3.44353675842,0.274903132652,0.158237041119,0.076550886035,2864285000000,3.34850859642,0.338464610515,0.173730115636,0.0889769271016,2798633000000,3.35486125946,0.340099217566,0.237439650716,0.0802641138434,2793197000000,3.36591672897,0.406706545644,0.280688094075,0.0756731927395,2797445000000,3.55127286911,0.29990893273,0.229810568776,0.0876539722085,2787113000000,3.40766358376,0.358585989019,0.195570597435,0.0776051729918,2792873000000,3.43335032463,0.382048431169,0.247937260817,0.0701526030898,2804781000000,3.51336169243,0.377565383296,0.205948636779,0.0621470287442,2847649000000,3.32583355904,0.363786274176,0.344100046456,0.0790678039193,2786213000000,3.40432167053,0.368606068049,0.174549287867,0.0596777908504,2849961000000,3.43541288376,0.395864249446,0.3036650543,0.070497751236
2843185000000,3.30557966232,0.326194261695,0.144801115787,0.144801115787,2795137000000,3.53282880783,0.271378449931,0.153415570293,0.0733926296234,2883893000000,3.3438372612,0.285909929632,0.201730006274,0.096364736557,2805693000000,3.48312544823,0.278392880736,0.124039176931,0.0886645019054,2790809000000,3.4424829483,0.275218841935,0.156470240765,0.0791013464332,2864285000000,3.34909725189,0.336287348401,0.170518144049,0.0876127108932,2798677000000,3.35531115532,0.339756999148,0.236510737694,0.0747046023607,2793237000000,3.36510276794,0.403162007793,0.277852227307,0.081415258348,2797445000000,3.55120921135,0.297993098287,0.228182227685,0.0855811461806,2787157000000,3.40815782547,0.35642041151,0.193553725209,0.0741012096405,2792913000000,3.43332743645,0.378165405242,0.244817359018,0.0784318074584,2804801000000,3.51334381104,0.373421461874,0.20295160481,0.0590162985027,2847689000000,3.32497024536,0.361308294756,0.340395920366,0.0821076855063,2786233000000,3.40358519554,0.363248152245,0.17445401868,0.0596113316715,2849973000000,3.43491888046,0.39201947343,0.298696356259,0.0729783475399
2843185000000,3.3062722683,0.32507401896,0.143010213044,0.143010213044,2795157000000,3.53266978264,0.2696770428,0.152310465481,0.072338193655,2883933000000,3.34283351898,0.2847685547,0.197939044858,0.0964990258217,2805713000000,3.48300504684,0.278179605101,0.120089187917,0.0867511183023,2790853000000,3.44126176834,0.275701242754,0.15570748642,0.078396730125,2864329000000,3.34980916977,0.334467390493,0.168055552145,0.0856934934855,2798725000000,3.35541009903,0.337391061509,0.23405932837,0.081522449851,2793281000000,3.36440062523,0.39853719832,0.274919935571,0.0794285833836,2797489000000,3.55091929436,0.296660822266,0.224936546549,0.0845231115818,2787201000000,3.40843200684,0.355580381487,0.190974641746,0.0681122019887,2792949000000,3.43338918686,0.374063012611,0.2404713146,0.0775915384293,2804845000000,3.51298165321,0.369572038176,0.198723473992,0.0598820783198,2847733000000,3.32415246964,0.357763194646,0.336974426134,0.0787217095494,2786269000000,3.40270709991,0.358487127373,0.170210363726,0.0592921003699,2850017000000,3.43448638916,0.38823212008,0.294518017977,0.0733796954155
2843229000000,3.30658459663,0.323589084629,0.143084895581,0.143084895581,2795201000000,3.53242564201,0.269693417737,0.151802948622,0.0737482979894,2883977000000,3.34244370461,0.284263636224,0.19603773554,0.0989036560059,2805757000000,3.48317933083,0.278075804377,0.117982455421,0.0870284214616,2790897000000,3.44047760963,0.274349607113,0.156589414566,0.0811349153519,2864341000000,3.35051369667,0.33200458781,0.166217327549,0.0794048979878,2798769000000,3.35518503189,0.336935839221,0.2306445992,0.0830475911498,2793325000000,3.36356139183,0.396584241365,0.272204309059,0.0801630243659,2797505000000,3.55046749115,0.296403900155,0.224674393034,0.0819171667099,2787201000000,3.40907788277,0.353416727331,0.190069618761,0.0752738416195,2792993000000,3.43336653709,0.371065415038,0.237528117886,0.0706182047725,2804889000000,3.51234221458,0.365663110513,0.194595572327,0.0583338476717,2847773000000,3.32352828979,0.357368407349,0.333796096497,0.0819632932544,2786317000000,3.40182375908,0.35329688155,0.167256531237,0.0559394732118,2850061000000,3.43387007713,0.383201227411,0.289533418216,0.0685985386372
2843245000000,3.30673527718,0.322305914588,0.140735055316,0.140735055316,2795245000000,3.53216028214,0.268546255554,0.150074486283,0.0698597282171,2884025000000,3.34215044975,0.282805946104,0.194506682428,0.0890364646912,2805801000000,3.48339343071,0.276588625672,0.117349846306,0.0916817933321,2790941000000,3.44003367424,0.275092990183,0.154657000234,0.0789900869131,2864381000000,3.3506128788,0.3287693575,0.164701215332,0.0829276442528,2798769000000,3.35601472855,0.333686814509,0.227694412399,0.0861789733171,2793369000000,3.36306381226,0.395175088497,0.271568820681,0.080390766263,2797545000000,3.55007886887,0.295347263113,0.224228100606,0.0804795995355,2787245000000,3.40982985497,0.351644022948,0.186919642491,0.0707729458809,2793037000000,3.43344092369,0.366701719088,0.234152050648,0.0711739361286,2804937000000,3.51236391068,0.362107534425,0.190510701595,0.0616021007299,2847813000000,3.32259654999,0.357628483101,0.331934561466,0.0851010531187,2786365000000,3.40082526207,0.348761121888,0.165839137008,0.0590838491917,2850105000000,3.43317770958,0.378452284255,0.285084104199,0.074518352747
2843285000000,3.3075594902,0.320100741501,0.138637925501,0.138637925501,2795289000000,3.53165459633,0.267153470563,0.147019321123,0.0752843022346,2884025000000,3.3418545723,0.283316511275,0.192378231118,0.0956256687641,2805849000000,3.4831161499,0.277041982428,0.117406969981,0.0883434340358,2790941000000,3.43938350677,0.273984051262,0.15264759778,0.0827860534191,2864425000000,3.35041546822,0.326501359562,0.161237067175,0.0826558470726,2798817000000,3.35624027252,0.332812954333,0.224024772499,0.0788177251816,2793369000000,3.36274552345,0.392458032963,0.269602485972,0.0767570063472,2797589000000,3.54926156998,0.293263281378,0.220069830007,0.0805318206549,2787261000000,3.41030335426,0.351405849184,0.185645151425,0.0635243356228,2793081000000,3.4335641861,0.363483359929,0.229691956767,0.0724027976394,2804937000000,3.51224279404,0.357732609514,0.186484098778,0.0604750998318,2847813000000,3.32165312767,0.356086646253,0.331057960942,0.0892126485705,2786409000000,3.39967107773,0.345786906306,0.16184126984,0.0593833588064,2850149000000,3.43256258965,0.375029272187,0.280935069283,0.0739027410746
2843329000000,3.30819535255,0.319720937177,0.137616548071,0.137616548071,2795289000000,3.53127837181,0.26622211623,0.145450923292,0.0759185031056,2884069000000,3.34170484543,0.283373172978,0.190908284863,0.096851490438,2805849000000,3.48354434967,0.276085095347,0.114769748767,0.0873458236456,2790989000000,3.43886423111,0.271956316494,0.151337245437,0.0723513960838,2864465000000,3.35039353371,0.324016205218,0.158887683732,0.0782513916492,2798833000000,3.35713076591,0.329864925775,0.221585343628,0.0789866819978,2793421000000,3.36229133606,0.391697768015,0.268512044419,0.0795356184244,2797633000000,3.54967284203,0.292301034809,0.218815400698,0.0876475647092,2787301000000,3.41069674492,0.350366088426,0.184770425811,0.0697919428349,2793081000000,3.43358469009,0.362219324796,0.228416412948,0.0733478814363,2804981000000,3.5115032196,0.35433430083,0.186399516629,0.060096051544,2847857000000,3.32105016708,0.35385821445,0.327352693594,0.0851271003485,2786409000000,3.39878249168,0.341387206234,0.158904748444,0.0571183487773,2850149000000,3.43216228485,0.370662346076,0.275250258745,0.0746221393347
2843381000000,3.30884385109,0.318621473595,0.1358198947,0.1358198947,2795333000000,3.5309381485,0.263067607908,0.144018266199,0.071615152061,2884089000000,3.34113717079,0.283380583385,0.18781142753,0.0973057448864,2805893000000,3.48351931572,0.274996942782,0.11264050057,0.0836361795664,2791001000000,3.43815612793,0.271432211351,0.14895600991,0.0770541653037,2864509000000,3.35068368912,0.320297202054,0.154850215788,0.0776309221983,2798869000000,3.35900330544,0.326499867423,0.219024153125,0.0788784399629,2793429000000,3.36178231239,0.389688739561,0.267006282097,0.079351991415,2797677000000,3.55097937584,0.289044180288,0.217206317238,0.0846398100257,2787345000000,3.41144585609,0.347860804352,0.182803404812,0.0627497434616,2793125000000,3.43369793892,0.35788802382,0.224501593396,0.0778642296791,2805001000000,3.51029992104,0.351793068031,0.18368144655,0.0640462189913,2847881000000,3.32056427002,0.352868792434,0.324891808055,0.0793537124991,2786453000000,3.39748096466,0.337565531971,0.156761308528,0.0627508088946,2850193000000,3.43183159828,0.366740426627,0.27008070954,0.0727641284466
2843425000000,3.3094625473,0.318450243438,0.135377469611,0.135377469611,2795357000000,3.5309150219,0.262337649759,0.144842011944,0.0711515396833,2884141000000,3.34029054642,0.282546520553,0.185817710015,0.0929088443518,2805913000000,3.48303937912,0.274433641869,0.110793199803,0.0842926874757,2791041000000,3.43716263771,0.271806916895,0.148423114112,0.076487146318,2864509000000,3.35113120079,0.317247482009,0.152423656491,0.0782741084695,2798917000000,3.36036944389,0.323993037387,0.217873013966,0.0800486505032,2793465000000,3.36125421524,0.388779159348,0.26612113444,0.0825306102633,2797677000000,3.55197381973,0.286899208493,0.213759586234,0.0796871036291,2787389000000,3.41177487373,0.345192608617,0.179950850298,0.0668236911297,2793137000000,3.4334962368,0.354352702881,0.221887795714,0.0765846148133,2805037000000,3.50831699371,0.348769511111,0.181216926921,0.0629865527153,2847921000000,3.3197786808,0.351923356605,0.322504944314,0.0839882716537,2786469000000,3.39606451988,0.333139976035,0.155432849723,0.0558009073138,2850213000000,3.43166351318,0.363170142096,0.266716131031,0.0729235038161
2843425000000,3.30977320671,0.318284325473,0.134676777315,0.134676777315,2795397000000,3.53075814247,0.261550555386,0.143415198324,0.0683766826987,2884185000000,3.33920693398,0.283312101096,0.18362062805,0.0910906344652,2805953000000,3.48285865784,0.271931075405,0.109055816656,0.0811066702008,2791085000000,3.43647456169,0.272512153717,0.147316359412,0.0765199661255,2864553000000,3.35135531425,0.313586405051,0.15069579153,0.0807481259108,2798961000000,3.36126828194,0.321464717251,0.215823560498,0.0779626220465,2793513000000,3.3603887558,0.387546426578,0.265276963048,0.083717443049,2797721000000,3.55285263062,0.285051333864,0.212189222463,0.0814358741045,2787433000000,3.41276812553,0.342757239873,0.179865534315,0.0664499104023,2793181000000,3.43306326866,0.351768688068,0.219150073073,0.0698856115341,2805081000000,3.50567412376,0.345250600468,0.177298961597,0.0611821115017,2847973000000,3.31909275055,0.349807233768,0.317966123239,0.0820401981473,2786505000000,3.39435052872,0.328070635088,0.153479836455,0.0609386414289,2850253000000,3.43105530739,0.359788632457,0.262445125733,0.0799288824201
2843469000000,3.30986762047,0.317716872942,0.133723756371,0.133723756371,2795437000000,3.53049826622,0.261151623019,0.1429766433,0.0714090466499,2884229000000,3.33864426613,0.284475996927,0.181469956194,0.101819381118,2805997000000,3.48300743103,0.269573654903,0.109876988321,0.0812216177583,2791125000000,3.43552184105,0.272526385361,0.146147395357,0.0778996497393,2864573000000,3.35102725029,0.310295079146,0.147921220698,0.0814648270607,2799005000000,3.3620057106,0.31815789728,0.214285084331,0.0747981071472,2793557000000,3.35956978798,0.385785075063,0.264520961643,0.0795573592186,2797737000000,3.55363869667,0.282058535,0.21022244491,0.0784331634641,2787433000000,3.41429376602,0.33996964849,0.176624981724,0.0710223093629,2793225000000,3.4326364994,0.348177515049,0.217301057416,0.0788825005293,2805129000000,3.5031619072,0.342295796695,0.173051544375,0.0653927475214,2848017000000,3.31826806068,0.3476139775,0.314540573041,0.0866923928261,2786549000000,3.39296317101,0.324942264919,0.152917954132,0.0545231252909,2850297000000,3.4304022789,0.355432598548,0.257871968335,0.0703972950578
