1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle
1.54393811376758e+18,4.94287109375,-56.4454650879,-2.48609662056,1.5439384852166205e+18,91.8588027954,16.420501709,-11.5634889603,1544027854183512275,-31.2648162842,27.1572570801,61.8010482788,1.5440286301895706e+18,10.4395446777,43.2207565308,-38.0725021362
1.5439381139837425e+18,4.88793945312,-53.4111480713,-2.94186663628,1.5439384854316004e+18,93.1613616943,16.5406265259,-12.703962326,1544027854341803847,-31.1855926514,28.3837203979,64.1266555786,1.5440286302920246e+18,9.30094909668,42.6362380981,-38.3571128845
1.5439381142158264e+18,4.83302307129,-50.3768157959,-3.39763665199,1.5439384856499126e+18,101.770675659,11.7763442993,1.0884642601,1544027854481463121,-31.1063690186,29.6101760864,66.4522705078,1.5440286303761134e+18,8.16235351562,42.0517196655,-38.6417274475
1.5439381148373128e+18,4.77810668945,-47.3424835205,-3.85340666771,1.5439384858529725e+18,103.9479599,5.72917938232,4.27219152451,1544027854614227910,-26.7317352295,34.2895507812,62.3912849426,1.544028630435257e+18,7.02374267578,41.4672012329,-38.9263381958
1.5439381150164908e+18,4.72317504883,-44.3081512451,-4.30917692184,1.543938486000492e+18,106.848579407,1.91403198242,5.93714141846,1544027854706912058,-25.2262878418,36.6625061035,63.7941207886,1.5440286305478154e+18,5.88514709473,40.8826828003,-39.2109489441
1.5439381152621036e+18,4.66825866699,-41.2738342285,-4.76494693756,1.543938486227192e+18,109.749191284,-1.90112304688,7.60209131241,1544027854869799453,-23.7208251953,39.0354614258,65.1969604492,1.5440286306326108e+18,4.74655151367,40.2981643677,-39.4955596924
1.5439381154560945e+18,4.61334228516,-38.2395019531,-5.22071695328,1.543938486497517e+18,102.674789429,4.39980316162,18.5266628265,1544027855239909078,-22.2153625488,41.408416748,66.5998001099,1.5440286307218068e+18,3.60795593262,39.7136459351,-39.7801704407
1.5439381155792696e+18,4.55841064453,-35.2051696777,-5.67648696899,1.5439384867014077e+18,102.37147522,3.83389282227,21.8101863861,1544027855597676713,-20.7099151611,43.7813720703,68.0026397705,1.5440286307869053e+18,2.46934509277,39.1291275024,-40.064781189
1.5439381157773652e+18,4.5034942627,-32.1708374023,-6.13225650787,1.543938486849808e+18,102.068145752,3.2679901123,25.0937099457,1544027855693127906,-19.2044525146,46.1543273926,69.4054794312,1.5440286308678587e+18,1.33074951172,38.5446014404,-40.3493919373
1.5439381160029312e+18,5.20431518555,-87.4704589844,-1.64075100422,1.5439384870569247e+18,101.764831543,2.70207977295,28.3772335052,1544027855877558062,-17.6989898682,48.5272827148,70.8083190918,1.5440286309591642e+18,0.192153930664,37.9600830078,-40.6340026855
1.543938116230145e+18,5.20608520508,-88.8122711182,-1.73817300797,1.5439384872022828e+18,95.1437911987,3.36608886719,10.1376247406,1544027856049626354,-16.1935272217,50.9002380371,72.2111587524,1.544028631077133e+18,-0.94645690918,37.3755645752,-40.9186134338
1.5439381164124111e+18,5.20785522461,-90.1540985107,-1.8355948925,1.543938487376717e+18,93.1515808105,3.12897491455,10.1449613571,1544027856217639790,-14.688079834,53.2731933594,73.6139907837,1.5440286311395366e+18,-2.08505249023,36.7910461426,-41.2032241821
1.543938116723329e+18,5.20962524414,-91.4959259033,-1.93301689625,1.5439384875648517e+18,91.1593704224,2.89185333252,10.15229702,1544027856350595915,-13.1826171875,55.646156311,75.0168304443,1.5440286312348828e+18,-3.22364807129,36.20652771,-41.4878349304
1.54393811689378e+18,5.21139526367,-92.8377380371,-2.03043889999,1.5439384877679327e+18,89.1671524048,2.65473937988,10.1596336365,1544027856711035010,-11.677154541,58.0191078186,76.419670105,1.5440286313342746e+18,-4.36225891113,35.6220092773,-41.7724456787
1.5439381171431165e+18,0.56721496582,-91.986907959,20.0963764191,1.54393848806313e+18,76.7566452026,3.30170440674,0.822383463383,1544027857485626475,-10.1717071533,60.3920631409,77.8225097656,1.5440286314805537e+18,-5.50085449219,35.0374908447,-42.057056427
1.5439381174740913e+18,-0.435165405273,-92.8548126221,22.9954509735,1.5439384882575421e+18,71.978263855,3.30101776123,-0.526988446712,1544027857720869485,-8.66624450684,62.7650222778,79.2253494263,1.544028631575576e+18,-6.63945007324,34.4529724121,-42.3416671753
1.5439381177143168e+18,-1.43756103516,-93.7227172852,25.894525528,1.5439384884588948e+18,67.1998825073,3.30033111572,-1.87636041641,1544027857934667945,-7.16078186035,65.1379776001,80.6281890869,1.5440286317171098e+18,-7.77806091309,33.8684539795,-42.6262779236
1.5439381178839043e+18,-8.06492614746,-86.6378631592,14.5397424698,1.5439384886806003e+18,62.4214935303,3.29964447021,-3.22573232651,1544027858092177504,-5.65533447266,67.5109329224,82.0310287476,1.5440286318862607e+18,-8.91665649414,33.2839355469,-42.9108886719
1.543938118140066e+18,-10.9051818848,-84.907333374,15.2089824677,1.5439384888819712e+18,86.4215927124,14.5471725464,1.9632743597,1544027858232099782,-4.14987182617,69.8838882446,83.4338684082,1.5440286320083958e+18,-10.0552520752,32.6994171143,-43.1954994202
1.5439381183169083e+18,-13.7454528809,-83.1767883301,15.8782234192,1.5439384891170972e+18,89.3391723633,17.5544891357,1.56389904022,1544027858364302646,-2.64440917969,72.2568435669,84.8367080688,1.544028632166522e+18,-11.1938476562,32.1148986816,-43.4801101685
1.5439381185090568e+18,-6.15026855469,-82.4595336914,4.87808179855,1.5439384893132006e+18,92.2567520142,20.5618133545,1.16452372074,1544027858541844525,-1.1389465332,74.6297988892,86.2395401001,1.5440286324400804e+18,-12.3324584961,31.530380249,-43.7647209167
1.5439381186705462e+18,-5.61958312988,-81.0563201904,3.65303397179,1.5439384895094346e+18,95.174331665,23.5691299438,0.76514840126,1544027858646602283,0.366500854492,77.0027618408,87.6423797607,1.5440286326871726e+18,-13.4710540771,30.9458618164,-44.049331665
1.543938118898874e+18,-5.08888244629,-79.6531066895,2.42798614502,1.543938489661834e+18,98.0919113159,26.5764541626,0.365773051977,1544027858781777694,1.87196350098,79.3757171631,89.0452194214,1.5440286328427612e+18,-14.6096496582,30.3613433838,-44.3339424133
1.5439381191384732e+18,-4.55819702148,-78.2498931885,1.20293843746,1.5439384897882312e+18,101.009490967,29.583770752,-0.0336022488773,1544027858916312344,3.37742614746,81.7486724854,90.448059082,1.5440286329785577e+18,-15.748260498,29.7768249512,-44.6185531616
1.5439381193071145e+18,-4.02749633789,-76.8466796875,-0.0221093911678,1.5439384899968993e+18,91.9836883545,25.5896759033,-11.9443063736,1544027859025951222,4.88287353516,84.1216278076,91.8508987427,1.544028633212586e+18,-16.8868560791,29.1923065186,-44.9031639099
1.5439381194907546e+18,-3.49681091309,-75.4434661865,-1.24715721607,1.5439384901337505e+18,90.9550704956,22.5710983276,-8.71782779694,1544027859160678959,6.38833618164,86.4945831299,93.2537384033,1.5440286334724692e+18,-18.0254516602,28.6077880859,-45.1877784729
1.5439381196227505e+18,-2.96611022949,-74.0402374268,-2.47220492363,1.5439384902891635e+18,90.6228790283,21.5822906494,-9.84821414948,1544027859299543762,7.89379882812,88.8675384521,94.656578064,1.5440286345752768e+18,-19.1640625,28.0232696533,-45.4723892212
1.5439381198178476e+18,-9.29055786133,-74.2142486572,-10.1903715134,1.5439384905018964e+18,90.290687561,20.5934753418,-10.9785995483,1544027859408150831,9.39926147461,91.2404937744,96.0594177246,1.544028634889907e+18,-20.3026580811,27.4387512207,-45.7569999695
1.5439381200082708e+18,34.0913619995,9.36322021484,38.4719085693,1.5439384906195284e+18,89.9585037231,19.6046600342,-12.1089859009,1544027859530377327,10.9047088623,93.6134490967,97.4622573853,1.544028635003788e+18,-21.4412536621,26.8542327881,-46.0416107178
1.5439381201946941e+18,59.0457458496,58.4481277466,43.496799469,1.54393849083659e+18,89.6263122559,18.6158447266,-13.2393712997,1544027859652337151,12.4101715088,95.9864044189,98.8650894165,1.5440286351503396e+18,-35.0950775146,-7.06811523438,2.38343977928
