P1_time_percent,P1_Xc,P1_Yc,P1_W,P1_H,P1_angle,P2_time_percent,P2_Xc,P2_Yc,P2_W,P2_H,P2_angle,P3_time_percent,P3_Xc,P3_Yc,P3_W,P3_H,P3_angle,P4_time_percent,P4_Xc,P4_Yc,P4_W,P4_H,P4_angle,P5_time_percent,P5_Xc,P5_Yc,P5_W,P5_H,P5_angle,PD1_time_percent,PD1_Xc,PD1_Yc,PD1_W,PD1_H,PD1_angle,PD2_time_percent,PD2_Xc,PD2_Yc,PD2_W,PD2_H,PD2_angle,PD3_time_percent,PD3_Xc,PD3_Yc,PD3_W,PD3_H,PD3_angle,PD4_time_percent,PD4_Xc,PD4_Yc,PD4_W,PD4_H,PD4_angle,PD5_time_percent,PD5_Xc,PD5_Yc,PD5_W,PD5_H,PD5_angle,PID1_time_percent,PID1_Xc,PID1_Yc,PID1_W,PID1_H,PID1_angle,PID2_time_percent,PID2_Xc,PID2_Yc,PID2_W,PID2_H,PID2_angle,PID3_time_percent,PID3_Xc,PID3_Yc,PID3_W,PID3_H,PID3_angle,PID4_time_percent,PID4_Xc,PID4_Yc,PID4_W,PID4_H,PID4_angle,PID5_time_percent,PID5_Xc,PID5_Yc,PID5_W,PID5_H,PID5_angle
2858521000000,342.632751465,253.75440979,97.6452713013,94.701385498,1.66203713417,2813049000000,326.852600098,264.164581299,103.869293213,104.752822876,-1.12801373005,2901621000000,327.379669189,270.516082764,66.2627868652,67.1339187622,1.51954603195,2823345000000,295.583557129,253.177398682,96.3603591919,98.8304519653,-1.23402643204,2807701000000,319.860351562,270.021026611,111.169387817,113.677017212,-1.05389761925,,,,,,,2914441000000,317.321014404,226.488540649,354.355041504,353.034057617,2.28408503532,,,,,,,2838285000000,299.610168457,243.23777771,261.185577393,267.100524902,0.194147258997,,,,,,,2809345000000,318.672119141,259.719726562,180.106262207,183.678115845,-1.74286818504,2823297000000,294.223846436,256.921813965,114.441703796,116.900634766,-1.22516000271,2867993000000,324.950256348,258.062774658,129.443084717,130.339324951,-2.68899846077,2805369000000,311.338745117,255.587265015,108.290092468,108.948158264,-1.05222117901,2867137000000,331.602264404,260.683807373,119.431610107,121.875160217,1.1617218256
2858521000000,344.100402832,253.299987793,97.8185501099,95.8583145142,1.40854907036,2813161000000,326.55960083,264.516265869,104.947990417,106.304695129,-0.953650593758,2901621000000,326.401092529,269.9012146,66.6340255737,66.8859634399,1.17724299431,2823469000000,294.094512939,253.39390564,96.7847671509,99.0298614502,-1.5619904995,2807821000000,318.313415527,270.583374023,112.947410583,114.837890625,-1.11022520065,,,,,,,2914605000000,317.150054932,231.307113647,350.044128418,349.469787598,1.96787512302,,,,,,,2838409000000,297.777923584,243.192260742,260.789550781,266.28125,-0.177115410566,,,,,,,2809441000000,320.773529053,258.847473145,180.885696411,186.096633911,-1.09643650055,2823297000000,295.070648193,256.443115234,114.940452576,117.766716003,-1.11711227894,2868109000000,325.070251465,257.570953369,130.695617676,131.493057251,-2.51818275452,2805369000000,311.888061523,256.264923096,108.484100342,109.141418457,-1.45322406292,2867241000000,331.05480957,260.433898926,120.868850708,122.312171936,0.781473040581
2858621000000,343.254974365,253.790664673,98.4637451172,96.9597854614,1.70703518391,2813277000000,325.243011475,265.674713135,106.431159973,107.653938293,-0.476757228374,2901713000000,326.417907715,270.758453369,66.446105957,66.4306335449,0.517682373524,2823469000000,294.973876953,253.274307251,96.9585571289,99.3724136353,-1.49930977821,2807821000000,318.413421631,271.396789551,113.486221313,114.88898468,-1.41525006294,,,,,,,2914733000000,322.43057251,234.011123657,344.694335938,346.00402832,1.92570626736,,,,,,,2838549000000,297.212585449,242.982788086,260.483215332,265.549682617,-0.503800809383,,,,,,,2809541000000,317.530761719,258.476898193,184.847320557,188.624191284,-0.619482278824,2823405000000,293.938659668,256.525970459,116.507713318,118.814544678,-1.51242876053,2868229000000,324.739471436,257.394256592,131.787353516,132.576278687,-2.60451340675,2805481000000,311.093261719,256.559570312,109.642662048,110.546867371,-1.72026801109,2867241000000,332.836883545,259.843200684,121.388412476,123.148773193,0.525698006153
2858621000000,344.339111328,253.435348511,98.9644546509,98.0685348511,1.32717621326,2813277000000,326.096862793,265.50970459,106.747299194,108.733825684,-0.395077943802,2901713000000,325.718475342,270.280029297,66.84790802,66.2491149902,0.124176606536,2823589000000,293.381164551,253.48147583,97.3090591431,99.4975967407,-1.87743389606,2807825000000,320.163360596,271.095184326,112.739532471,115.630195618,-0.822925686836,,,,,,,2914861000000,324.149841309,236.222412109,341.047027588,344.21206665,1.83757269382,,,,,,,2838677000000,295.451904297,242.180648804,260.164276123,263.981414795,-0.892140269279,,,,,,,2809541000000,319.764312744,257.359558105,186.695388794,191.173492432,-0.484482288361,2823493000000,293.405517578,256.308349609,117.784049988,119.817581177,-1.69154763222,2868333000000,325.407928467,258.188323975,132.863922119,132.865386963,-2.135876894,2805481000000,311.591247559,257.52532959,110.475418091,111.013084412,-1.97844851017,2867353000000,331.131988525,260.126647949,122.737510681,123.567085266,0.178157880902
2858733000000,344.453430176,253.595336914,99.2186660767,98.377822876,1.32034313679,2813377000000,325.047180176,266.146820068,107.740814209,109.868743896,-0.824975669384,2901825000000,325.846160889,270.912567139,66.748916626,65.9689941406,-0.628600478172,2823717000000,294.046844482,253.422836304,97.4108581543,99.9058609009,-1.74070429802,2807913000000,317.954650879,271.776977539,114.33782959,117.072219849,-1.13468968868,,,,,,,2915029000000,316.94619751,237.194824219,343.984130859,343.921264648,0.762270390987,,,,,,,2838809000000,296.557495117,242.561355591,259.523651123,263.151916504,-1.16880106926,,,,,,,2809645000000,316.931488037,257.259429932,189.357391357,192.604553223,-0.485143125057,2823605000000,293.422668457,256.333831787,119.513313293,120.777786255,-2.10966062546,2868333000000,326.763092041,257.050537109,133.641662598,134.391876221,-1.93102133274,2805601000000,312.69052124,256.873352051,111.655479431,112.660896301,-2.0649471283,2867457000000,330.038238525,260.372283936,123.900283813,123.980926514,-0.0444731190801
2858829000000,343.217987061,253.915893555,99.442199707,99.1130218506,0.778724253178,2813477000000,323.279174805,266.011138916,108.838218689,111.01134491,-0.951496422291,2901825000000,325.156066895,270.392211914,66.9977798462,65.7328338623,-1.17638373375,2823821000000,292.011993408,254.023834229,97.9353179932,99.9575271606,-1.92835450172,2807913000000,318.853668213,271.534729004,115.572486877,118.457603455,-1.06680655479,,,,,,,2915157000000,316.929626465,237.859542847,342.674621582,342.394165039,0.844773769379,,,,,,,2838921000000,297.901062012,242.512115479,258.652008057,262.580108643,-1.46627438068,,,,,,,2809645000000,318.810180664,256.572418213,190.748138428,194.873962402,-0.414629876614,2823701000000,293.311340332,256.096069336,120.551017761,121.910942078,-2.5188472271,2868437000000,326.319458008,258.134368896,134.802337646,134.455551147,-2.32228207588,2805729000000,309.760437012,255.599456787,115.454910278,111.334999084,0.215742528439,2867565000000,329.964782715,260.512054443,124.169319153,123.837692261,0.662644326687
2858921000000,342.91217041,254.012817383,99.8415679932,99.8927154541,0.358472168446,2813477000000,323.308013916,266.689544678,109.342926025,111.21635437,-1.10512518883,2901937000000,325.240997314,271.489990234,67.3000946045,65.2869949341,-1.37987375259,2823945000000,291.260070801,254.292129517,98.09034729,100.102035522,-1.99491512775,2808017000000,317.277160645,272.61416626,117.120269775,119.570243835,-1.00339019299,,,,,,,2915369000000,316.913024902,238.524246216,341.365142822,340.867095947,0.927277088165,,,,,,,2839041000000,298.985992432,242.385757446,258.436767578,262.456329346,-1.9121761322,,,,,,,2809749000000,316.632781982,256.351104736,192.488342285,196.21321106,-0.679787456989,2823805000000,293.333953857,255.794036865,121.251747131,122.797836304,-3.10379457474,2868437000000,324.173858643,256.343658447,135.685653687,134.421676636,-1.48306202888,2805833000000,310.576019287,256.752685547,117.118019104,113.12411499,-0.277164191008,2867681000000,330.865386963,259.659118652,123.782104492,124.24042511,1.07174038887
2858921000000,344.282623291,254.003204346,99.6530075073,100.755577087,0.429975926876,2813581000000,324.041687012,266.273895264,110.159126282,112.366546631,-1.06523704529,2902049000000,324.533111572,271.783996582,67.2691650391,65.2339096069,-1.45148479939,2824049000000,290.242279053,254.277435303,98.5188980103,100.130439758,-2.17086291313,2808017000000,316.028137207,271.955780029,117.663032532,118.917144775,-0.887115895748,,,,,,,2915485000000,316.896453857,239.188964844,340.055633545,339.339996338,1.00978040695,,,,,,,2839149000000,303.99597168,241.306747437,258.123199463,262.729003906,-2.04651761055,,,,,,,2809857000000,315.600830078,255.645996094,194.039230347,197.524520874,-0.916811347008,2823913000000,293.567443848,255.402420044,122.693618774,124.387168884,-4.43636894226,2868545000000,323.4112854,255.59777832,136.678741455,135.011917114,-1.04526281357,2805833000000,311.376617432,257.617156982,117.374702454,113.824432373,-1.13728904724,2867797000000,329.014404297,259.743743896,124.825492859,124.817085266,0.659425914288
2859025000000,344.814453125,253.974899292,99.5965118408,101.471664429,0.404715001583,2813677000000,322.769134521,267.035736084,110.467086792,112.541908264,-1.41817295551,2902049000000,326.568054199,268.684570312,65.4954910278,64.0101470947,3.34435510635,2824049000000,289.280059814,253.976333618,98.6089172363,99.4758224487,-2.0014321804,2808113000000,316.148590088,272.643127441,119.183815002,120.126564026,-1.04312813282,,,,,,,2915601000000,316.879852295,239.853683472,338.746154785,337.812896729,1.09228372574,,,,,,,2839273000000,307.993682861,240.515487671,258.203582764,263.744720459,-2.08958601952,,,,,,,2809857000000,317.8230896,254.65196228,195.304367065,199.150604248,-0.466274291277,2823913000000,292.567443848,254.98866272,123.334060669,124.086357117,-3.91725087166,2868737000000,326.279724121,255.129776001,138.130950928,137.59564209,-0.720785737038,2805929000000,311.066894531,257.320983887,119.104949951,115.866172791,-1.49174845219,2867797000000,330.634277344,259.557952881,124.604156494,125.25289917,1.02992188931
2859105000000,343.302856445,254.370147705,100.241104126,102.075210571,-0.166228100657,2813677000000,323.520782471,266.267700195,111.384887695,113.968086243,-1.51653134823,2902153000000,325.441741943,270.453643799,65.7643051147,65.0120620728,3.34140539169,2824149000000,289.150268555,254.214584351,99.0321655273,99.5647201538,-2.03519201279,2808113000000,314.797180176,271.550231934,121.611808777,118.173194885,0.94016379118,,,,,,,2915697000000,316.863250732,240.518386841,337.436645508,336.285827637,1.17478716373,,,,,,,2839401000000,309.959716797,240.287841797,258.426422119,264.743164062,-1.95170962811,,,,,,,2809969000000,317.96572876,254.359130859,195.8253479,200.398406982,-0.327688395977,2824009000000,293.883911133,254.453582764,125.441192627,124.15057373,-5.33545255661,2868885000000,327.404571533,254.869094849,139.778244019,140.244644165,-0.554522752762,2806021000000,310.919647217,256.808532715,121.219924927,118.543670654,-1.49714505672,2867889000000,328.704498291,259.787384033,125.698066711,125.833854675,0.649815142155
